Time,EncoderAngle
55161946.1995,83.0
55161966.2188,83.0
55161986.9293,84.0
55162006.0497,84.0
55162026.3597,84.0
55162046.6626,85.0
55162066.5929,85.0
55162085.9608,85.0
55162106.7305,86.0
55162126.3783,86.0
55162146.7243,86.0
55162167.8641,86.0
55162186.8194,85.0
55162205.9063,85.0
55162227.4407,85.0
55162246.9724,86.0
55162267.1961,86.0
55162287.1329,87.0
55162307.1732,87.0
55162326.7677,88.0
55162347.2067,88.0
55162376.5014,88.0
55162396.7015,88.0
55162416.472,89.0
55162436.4991,89.0
55162456.3951,88.0
55162476.6444,88.0
55162499.1037,89.0
55162516.3936,89.0
55162536.4057,89.0
55162556.0302,89.0
55162575.8145,89.0
55162596.1365,89.0
55162616.4982,88.0
55162636.2607,88.0
55162655.9675,88.0
55162676.4653,87.0
55162697.2073,87.0
55162716.2001,87.0
55162736.4784,88.0
55162756.7927,88.0
55162777.4025,89.0
55162799.1307,89.0
55162817.2333,90.0
55162836.5367,90.0
55162856.5952,91.0
55162876.5624,91.0
55162897.1345,91.0
55162917.1232,90.0
55162936.95,90.0
55162956.9262,89.0
55162977.1233,89.0
55163007.0196,90.0
55163027.0016,90.0
55163047.0902,89.0
55163066.6972,89.0
55163086.8932,88.0
55163107.5155,88.0
55163126.5582,87.0
55163146.8782,87.0
55163168.4073,86.0
55163186.9812,86.0
55163208.8043,86.0
55163227.3152,87.0
55163246.7793,87.0
55163266.1565,87.0
55163286.6964,86.0
55163306.9237,86.0
55163327.0409,85.0
55163346.8552,85.0
55163366.7744,84.0
55163387.0546,84.0
55163406.5397,84.0
55163427.3062,85.0
55163446.826,85.0
55163466.4853,84.0
55163486.8872,84.0
55163507.2802,83.0
55163527.0221,83.0
55163546.5393,83.0
55163566.4463,84.0
55163587.4685,84.0
55163606.6253,84.0
55163626.9951,83.0
55163657.1813,83.0
55163677.4178,83.0
55163696.7727,82.0
55163716.1731,82.0
55163736.4552,82.0
55163756.8406,82.0
55163776.0454,82.0
55163796.7167,82.0
55163816.1651,82.0
55163837.2622,81.0
55163856.4715,81.0
55163876.2837,81.0
55163896.4734,81.0
55163916.0454,81.0
55163937.1509,81.0
55163956.4981,81.0
55163976.6653,81.0
55164007.4119,81.0
55164027.904,81.0
55164047.5304,81.0
55164065.9911,81.0
55164086.3065,81.0
55164106.4542,81.0
55164126.8783,80.0
55164146.4194,80.0
55164166.3846,80.0
55164186.5104,80.0
55164206.0553,80.0
55164226.1629,80.0
55164246.2508,80.0
55164266.1389,80.0
55164286.2104,80.0
55164306.2341,80.0
55164326.9912,80.0
55164346.2028,80.0
55164366.8365,79.0
55164385.8923,79.0
55164407.2964,79.0
55164426.6548,79.0
55164446.2461,79.0
55164466.772,78.0
55164486.1878,78.0
55164506.9904,78.0
55164528.1945,78.0
55164552.3361,79.0
55164577.4176,79.0
55164597.1803,78.0
55164616.281,78.0
55164636.1787,78.0
55164657.1908,78.0
55164676.4273,78.0
55164697.6041,79.0
55164716.7785,79.0
55164736.463,78.0
55164757.1206,78.0
55164776.3321,78.0
55164796.7985,79.0
55164816.9408,79.0
55164836.9499,78.0
55164856.6738,78.0
55164877.4027,78.0
55164897.1179,79.0
55164926.2962,79.0
55164949.2333,79.0
55164967.2297,80.0
55164987.1853,80.0
55165006.9217,81.0
55165027.1293,81.0
55165047.2141,82.0
55165066.7783,82.0
55165086.4206,82.0
55165106.9908,81.0
55165127.3183,81.0
55165147.0498,81.0
55165166.9386,82.0
55165186.2498,82.0
55165206.6851,82.0
55165226.1215,82.0
55165246.7081,83.0
55165267.0907,83.0
55165286.0816,83.0
55165306.4311,84.0
55165326.931,84.0
55165347.0191,84.0
55165368.1291,84.0
55165387.031,83.0
55165406.4246,83.0
55165427.1163,84.0
55165447.2392,84.0
55165466.4386,84.0
55165486.4901,83.0
55165506.801,83.0
55165526.7042,83.0
55165546.7667,83.0
55165566.6636,82.0
55165586.8511,82.0
55165606.5851,83.0
55165626.2837,83.0
55165647.2806,83.0
55165667.104,84.0
55165686.2067,84.0
55165706.2627,84.0
55165726.7569,84.0
55165746.5862,83.0
55165768.4427,83.0
55165786.7889,84.0
55165806.5261,84.0
55165826.6571,84.0
55165846.4409,83.0
55165867.1787,83.0
55165886.2818,83.0
55165907.0415,84.0
55165926.5587,84.0
55165946.5909,84.0
55165966.2263,84.0
55165986.8946,83.0
55166006.9711,83.0
55166026.5933,82.0
55166046.5277,82.0
55166066.7026,83.0
55166086.5218,83.0
55166106.2403,83.0
55166126.5788,82.0
55166146.9361,82.0
55166166.3759,81.0
55166187.4629,81.0
55166216.8225,81.0
55166237.008,80.0
55166257.0576,80.0
55166276.5781,79.0
55166296.5249,79.0
55166316.4395,80.0
55166336.3947,80.0
55166356.5519,80.0
55166376.2833,80.0
55166396.7987,79.0
55166417.0564,79.0
55166435.9491,79.0
55166456.5463,79.0
55166476.2547,79.0
55166496.954,80.0
55166516.9496,80.0
55166537.0213,81.0
55166556.6308,81.0
55166576.5076,80.0
55166596.0267,80.0
55166616.6139,80.0
55166636.4041,81.0
55166656.4823,81.0
55166677.3662,81.0
55166696.7023,82.0
55166716.5965,82.0
55166736.433,82.0
55166757.0267,81.0
55166777.6665,81.0
55166796.8381,80.0
55166816.8857,80.0
55166846.3555,80.0
55166866.5676,79.0
55166886.5334,79.0
55166906.0313,79.0
55166928.3266,78.0
55166947.8628,78.0
55166966.2976,79.0
55166986.5306,79.0
55167007.0369,79.0
55167028.4133,80.0
55167047.1685,80.0
55167066.4074,80.0
55167085.8381,80.0
55167106.4956,81.0
55167126.7621,81.0
55167146.3452,81.0
55167169.6749,80.0
55167186.5016,80.0
55167206.3922,81.0
55167227.1929,81.0
55167246.9171,81.0
55167266.5102,81.0
55167286.1922,81.0
55167306.4977,81.0
55167327.5546,82.0
55167346.9628,82.0
55167366.4883,82.0
55167386.3485,82.0
55167406.9688,83.0
55167427.4148,83.0
55167446.3452,83.0
55167467.5645,83.0
55167497.4366,83.0
55167516.6561,84.0
55167537.7165,84.0
55167556.6153,84.0
55167577.4354,85.0
55167597.2465,85.0
55167616.1996,85.0
55167637.1539,85.0
55167656.2149,85.0
55167677.3582,86.0
55167696.1591,86.0
55167716.8767,86.0
55167736.9756,85.0
55167756.8978,85.0
55167777.2442,86.0
55167796.8892,86.0
55167817.8928,86.0
55167836.7015,87.0
55167856.2841,87.0
55167877.0095,87.0
55167899.5359,86.0
55167919.979,86.0
55167937.0153,85.0
55167957.0108,85.0
55167976.8646,86.0
55167996.0736,86.0
55168017.093,86.0
55168036.5934,86.0
55168056.5331,86.0
55168077.0348,87.0
55168098.5362,87.0
55168127.1011,87.0
55168146.4625,88.0
55168166.3814,88.0
55168186.9831,88.0
55168205.9663,88.0
55168227.1128,89.0
55168246.7319,89.0
55168266.7916,89.0
55168286.6973,88.0
55168307.1339,88.0
55168329.4389,89.0
55168346.9645,89.0
55168366.2767,89.0
55168386.8774,88.0
